# mob id	stat	server value	v84 value  (shared ids only; server-read stats only)
# 1108 rows
9400743	PADamage	500	80
9400743	PDDamage	700	80
9400743	MADamage	160	75
9400743	MDDamage	800	55
9400743	acc	300	80
9400743	eva	35	10
9400744	maxHP	10000000	100000
9400744	maxMP	5000	500
9400744	level	168	10
9400744	exp	250000	2500
9400744	PADamage	750	100
9400744	PDDamage	600	400
9400744	MADamage	700	200
9400744	MDDamage	800	400
9400744	acc	190	90
9400744	pushed	20000	2000
9400744	hpRecovery	10000	100
9400745	maxHP	5000000	50000
9400745	maxMP	5000	500
9400745	level	160	10
9400745	exp	100000	1000
9400745	PADamage	700	90
9400745	PDDamage	880	220
9400745	MADamage	550	150
9400745	acc	180	75
9400745	eva	55	15
9400745	pushed	15000	1500
9400745	hpRecovery	5000	50
9400746	maxHP	2000000	20000
9400746	maxMP	1000	100
9400746	level	170	10
9400746	exp	30000	300
9400746	PADamage	650	85
9400746	PDDamage	800	200
9400746	MDDamage	750	250
9400746	acc	200	140
9400746	eva	56	23
9400746	pushed	25000	2500
9400747	maxHP	4500000	45000
9400747	maxMP	1900	190
9400747	level	170	10
9400747	exp	25000	250
9400747	PADamage	700	80
9400747	PDDamage	750	100
9400747	MADamage	650	80
9400747	MDDamage	500	100
9400747	acc	210	70
9400747	eva	70	15
9400747	pushed	10000	1000
9400748	maxHP	17000000	400000
9400748	maxMP	2000	100
9400748	level	180	10
9400748	exp	60000	1000
9400748	PADamage	650	150
9400748	PDDamage	1000	500
9400748	MADamage	780	20
9400748	MDDamage	1100	450
9400748	acc	270	1000
9400748	eva	50	10
9400748	pushed	42000	3000
9400748	hpTagColor	1	-
9400748	hpTagBgcolor	5	-
9400748	hpRecovery	20000	2000
9400749	acc	300	75
9500110	elemAttr	H2	H2D3
9500111	elemAttr	H3F3	H3F3D2
9500116	elemAttr	H3	H3D2
9500121	elemAttr	H3	H3D2
9500122	elemAttr	I2L2F2H2	I2L2F2H2D2
9500127	elemAttr	L2I1H3	L2I1H3D2
9500128	elemAttr	H3	H3D2
9500131	elemAttr	S1H3	S1H3D2
9500135	elemAttr	H3F3	H3F3D2
9500137	elemAttr	H3F3I1	H3F3I1D2
9500139	elemAttr	S1H3	S1H3D2
9500140	elemAttr	S1H3	S1H3D2
9500155	elemAttr	F3H3	F3H3D2
9500156	elemAttr	H3	H3D2
9500157	elemAttr	H3F3	H3F3D2
9500306	mobType	0	-
9500307	mobType	4	-
9500308	mobType	7	-
9500309	mobType	3	-
9500310	mobType	8	-
9500311	mobType	1	-
9500312	mobType	0	-
9500313	mobType	0	-
9500314	mobType	0	-
9500315	mobType	0	-
9500316	mobType	0	-
9500320	mobType	0	-
9500337	mobType	0	-
9500338	mobType	4	-
9500339	mobType	4	-
9500340	boss	1	-
9500340	hpTagColor	1	-
9500340	hpTagBgcolor	5	-
9500340	elemAttr	I2F2L2H2	I2F2L2H2D2
9500343	hpTagColor	1	-
9500343	hpTagBgcolor	5	-
9500343	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9500344	mobType	8	-
9500345	mobType	4	-
9500346	mobType	1	-
9500347	mobType	1	-
9500348	mobType	0	-
9500349	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9500350	mobType	0	-
9500351	elemAttr	I2F2L2H2S2	I2F2L2H2S2D2
9500353	elemAttr	S1H3	S1H3D2
9500353	mobType	6	-
9500355	mobType	0	-
9500356	mobType	8	-
9500357	mobType	0	-
9500358	hpTagColor	1	-
9500358	hpTagBgcolor	5	-
9500358	elemAttr	S1H3	S1H3D2
9500369	elemAttr	I2L2F2H2	I2L2F2H2D2
9501011	elemAttr	F1L1I1S1H1P1	F1L1I1S1H1P1D1
9501012	elemAttr	F2L2I2S2H2P2	F2L2I2S2H2P2D2
9501013	elemAttr	F3L3I3S3H3P3	F3L3I3S3H3P3D3
9700000	mobType	5	-
9700001	mobType	4	-
